Вопрос;Эталонный ответ преподавателя;Ответ студента;Оценка
Какие показатели характеризуют качество данных?;Полнота, точность, непротиворечивость, актуальность, достоверность, уникальность, целостность, своевременность.;Completeness, accuracy, consistency, timeliness, validity, uniqueness, integrity. Данные должны быть полными, точными, непротиворечивыми и актуальными.;5
Что такое статистическое обучение;Статистическое обучение объединяет методы статистики и машинного обучения для построения прогнозных моделей;Статистическое обучение объединяет методы статистики для построения моделей;5
Назовите критерии качества кластеризации и поясните их значение и когда они используются.;Критерии качества: внутрикластерная дисперсия (SSW), межкластерная дисперсия (SSB), индекс силуэта, индекс Дэвиса-Болдина, индекс Калински-Харабаса. Применяются для оценки плотности и разделимости кластеров.;Критерии включают индекс силуэта и дисперсию между и внутри кластеров. Используются для оценки точности кластеризации.;5
Что такое Apache Hadoop?;Фреймворк для распределенной обработки больших данных, состоящий из HDFS (распределенная файловая система) и MapReduce (модель программирования).;Это технология для работы с данными, которую используют крупные компании.;2
Что такое уровень значимости;Уровень значимости ? представляет собой вероятность совершить ошибку первого рода, то есть отвергнуть верную нулевую гипотезу в статистическом тестировании, обычно устанавливается на уровне 0.05 или 0.01;Уровень значимости это статистический параметр, определяющий вероятность ошибки при тестировании гипотез;5
Где применяется data mining в промышленности и бизнесе?;Data mining используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;4
Какие признаки создавать для временных рядов при feature engineering?;Лаги, скользящие статистики (mean, std), временные характеристики (час, день недели), фичи из Fourier transform, difference.;Прошлые значения, средние за окно, время суток и день недели. Сезонные компоненты и тренды.;3
Какие инструменты используются для работы с мониторинг больших данных?;Мониторинг больших данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Технологии мониторинг больших данных позволяют компаниям обрабатывать большие объёмы разнородных данных, выявлять сложные закономерности и принимать обоснованные решения.;5
Наивный байесовский алгоритм;Наивный байесовский классификатор основан на теореме Байеса и предполагает условную независимость признаков при заданном классе для упрощения вычислений апостериорных вероятностей;Простой вероятностный классификатор, использующий теорему Байеса для предсказаний;2
Каковы условия остановки ветвления дерева?;Остановка при достижении максимальной глубины, минимального числа samples в узле, отсутствии улучшения качества или pure node;Максимальная глубина и минимальные samples;3
Фундаментальное свойство статистического обучения;Фундаментальным свойством является компромисс между смещением и дисперсией (bias-variance tradeoff), который определяет способность модели к обобщению на новых данных;Баланс в машинном обучении;2
Векторы, матрицы, фреймы и факторы в R;Векторы - атомарные данные, матрицы - 2D массивы, фреймы - таблицы, факторы - категориальные переменные;Типы данных в языке R;4
Какие инструменты используются для работы с ETL-пайплайны?;Etl-пайплайны помогает компаниям анализировать пользовательское поведение, выявлять закономерности и строить точные модели. Применяется в цифровых сервисах, рекламе и смарт?системах.;Это что?то связанное с данными, но используется редко.;2
Какие реальные примеры использования масштабируемые системы существуют?;Технологии масштабируемые системы позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Масштабируемые системы используется для обработки информации и улучшения решений.;3
Какие навыки необходимы специалисту для работы с машинное обучение?;Машинное обучение помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;5
Что такое Adam optimizer?;Алгоритм оптимизации для градиентного спуска, сочетающий преимущества RMSProp и Momentum с адаптивным learning rate.;Алгоритм оптимизации для нейронных сетей. Хорошо работает для разных задач.;3
Какие навыки необходимы специалисту для работы с NLP?;Nlp помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Nlp применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;4
Что такое 'функция активации' в нейросети?;Функция активации определяет, будет ли нейрон активирован, и вносит нелинейность в модель.;Функция активации добавляет нелинейность в работу нейрона, позволяя модели решать сложные задачи.;5
«Меры изменчивости»: что к ним относится?;Дисперсия, стандартное отклонение, размах, межквартильный размах, среднее абсолютное отклонение;Показатели разброса;2
Примеры задач с большими графами;Большие графы используются в социальных сетях, рекомендательных системах и биоинформатике для анализа связей;Большие графы используются в социальных сетях и рекомендательных системах;5
Почему технологии хранилища данных стали критически важны?;Технологии хранилища данных позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Хранилища данных применяется в финансах, медицине, рекламе и IT, помогает анализировать данные и строить модели.;4
Что такое гиперпараметры модели?;Гиперпараметры — это параметры, значения которых задаются до обучения модели и влияют на её архитектуру и процесс обучения, например скорость обучения или количество слоёв.;Это параметры модели.;3
Какие инструменты используются для работы с кластеризация данных?;Кластеризация данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Кластеризация данных нужно только программистам, обычным компаниям оно бесполезно.;2
Как организовать data quality checks в ETL процессах?;Automated validation rules, data profiling, constraint checking, statistical tests, anomaly detection, alerting on quality issues.;Автоматические правила валидации, профилирование данных, проверка ограничений. Статистические тесты и алертинг при проблемах качества.;5
Какие подходы использовать для оптимизации запросов в колоночных базах данных?;Predicate pushdown, column pruning, использование статистик для планирования запросов, оптимизация формата хранения, сжатие данных, правильное партиционирование.;Способы сделать запросы быстрее в колоночных базах.;2
Что такое exactly-once semantics в stream processing?;Гарантия что каждое сообщение будет обработано ровно один раз без дублирования или потерь;Гарантия однократной обработки каждого сообщения в потоковых системах;4
Что означает термин 'оверфиттинг'?;Оверфиттинг — это ситуация, когда модель слишком точно подстраивается под обучающие данные, теряя способность обобщать.;Это когда модель делает ошибки из-за переобучения.;2
Критерии качества кластеризации;Метрики оценки кластеризации включают Silhouette score, Davies-Bouldin index и Calinski-Harabasz index для измерения компактности и разделимости кластеров;Показатели для оценки того насколько хорошо работает кластеризация;2
Какие методы использовать для обнаружения аномалий в многомерных временных рядах?;Многомерные статистические методы (Mahalanobis distance), матричные профили, нейросетевые подходы (LSTM autoencoders), изолирующие леса, анализ главных компонент с reconstruction error.;Специальные алгоритмы для многомерных временных данных, сочетающие анализ корреляций и временных паттернов.;3
Что такое регрессионный анализ, какие задачи DM можно проводить с его помощью?;Регрессионный анализ — метод моделирования зависимости переменной Y от одной или нескольких переменных X. Применяется для прогнозирования, оценки влияния факторов и аппроксимации зависимостей.;Регрессионный анализ — статистический метод, позволяющий построить модель зависимости целевой переменной от признаков. Применяется для прогнозирования и анализа влияния факторов.;4
Какие риски связаны с применением предобработка данных?;Технологии предобработка данных позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Технологии позволяют улучшать качество аналитики, находить закономерности и предсказывать события.;4
Меры изменчивости;Дисперсия, стандартное отклонение, размах, межквартильный размах - показатели разброса данных;Дисперсия, стандартное отклонение, размах и межквартильный размах являются мерами изменчивости;5
Что такое YARN?;Компонент Hadoop для управления ресурсами кластера и планирования задач. Отделяет функции управления от модели обработки данных.;Компонент Hadoop для управления ресурсами. Планирует выполнение задач в кластере.;3
Что такое data serialization в Big Data?;Преобразование объектов в формат для передачи по сети или хранения;Преобразование данных в формат для передачи между системами;4
Нормальное распределение;Нормальное распределение характеризуется симметричной колоколообразной формой и определенными параметрами центра и dispersion;Распределение с симметричной формой;4
Примеры задач с большими графами;Большие графы используются в социальных сетях для анализа сообществ, в рекомендательных системах и биоинформатике для изучения белковых взаимодействий;Анализ социальных графов (обнаружение сообществ, измерение центральности), рекомендательные системы на графах (Personalized PageRank), биоинформатика (анализ метаболических путей), интернет-поиск (алгоритм PageRank), транспортные сети (кратчайшие пути);5
Векторы, матрицы, фреймы и факторы в R. Сходство и различия, способы обработки.;Векторы и матрицы содержат данные одного типа, data.frame — разных типов, factor используется для категориальных данных. Обработка осуществляется функциями length(), dim(), apply(), summary().;Векторы и матрицы содержат элементы одного типа data.frame допускает разные типы. Factor кодирует категории. Обработка выполняется функциями dim(), apply(), summary().;5
Что такое Data Lake и чем он отличается от Data Warehouse?;Data Lake — это централизованное хранилище, где данные сохраняются в исходном виде. Data Warehouse — структурированное хранилище для анализа. Главное отличие — степень структурированности данных.;Data Lake — это база, где хранятся все данные, Data Warehouse — тоже хранилище, но они разные.;2
Что такое перекрёстная проверка (cross-validation)?;Перекрёстная проверка — это метод оценки обобщающей способности модели, при котором данные делятся на несколько частей, и обучение происходит поочередно на различных подвыборках, а проверка — на оставшихся.;Это проверка модели на разных подвыборках данных.;4
Назовите характеристики качества данных.;К характеристикам качества данных относятся полнота, точность, актуальность, непротиворечивость, целостность и доступность.;Качество данных определяется точностью и полнотой.;3
Какие метрики использовать для оценки несбалансированной бинарной классификации?;Precision, Recall, F1-score, ROC-AUC, PR-AUC. Accuracy не подходит, так как может быть обманчиво высоким при дисбалансе классов.;Не использовать accuracy. Лучше смотреть на F1-score и recall для редкого класса.;3
Что такое статистическая гипотеза;Статистическая гипотеза представляет собой проверяемое предположение о свойствах генеральной совокупности, которое может быть подтверждено или опровергнуто с помощью статистических тестов;Утверждение о параметрах распределения или свойствах данных которое проверяется с использованием статистических критериев;3
Какие подходы использовать для обработки полуструктурированных данных (JSON, XML) в Big Data системах?;Использование форматов с schema evolution (Avro, Parquet), извлечение полей в отдельные колонки, хранение в native формате с индексацией, использование специализированных функций для querying.;Способы работы с JSON и XML данными в больших системах, включая преобразование в структурированный формат и специальные методы запросов.;3
Какие основные инструменты и технологии используются для работы с обработка данных?;Обработка данных используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Используется для прогнозов и анализа информации.;3
Что такое Apache Arrow?;Формат in-memory для колоночного хранения данных с нулевой сериализацией для ускорения анализа.;In-memory формат для эффективной обработки данных. Позволяет системам обмениваться данными без сериализации и ускоряет аналитические операции.;5
В каких областях деятельности используются большие данные, привести примеры;Большие данные используются в финансах (обнаружение мошенничества), ритейле (рекомендательные системы), здравоохранении (персонализированная медицина), транспорте (оптимизация маршрутов) и социальных сетях.;Применение в разных сферах;2
Обучение с учителем и без учителя;"С учителем: классификация и регрессия с размеченными данными; без учителя: кластеризация и анализ без меток";"С учителем: методы с размеченными данными; без учителя: анализ данных без целевых переменных";5
Какие алгоритмы машинного обучения относятся к обучению с учителем?;Линейная регрессия, логистическая регрессия, SVM, деревья решений, случайный лес, градиентный бустинг, k-NN, нейронные сети. Все используют размеченные данные для обучения.;Методы которые учатся на данных с правильными ответами: предсказание и классификация.;3
Какие проблемы возникают при использовании обработка потоковых данных?;Технологии обработка потоковых данных позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Обработка потоковых данных применяется в некоторых компаниях для анализа данных.;3
Как специалисты анализируют данные в рамках системы логирования?;Системы логирования используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Эти технологии помогают работать с информацией и делать прогнозы.;3
Что такое sharding в базах данных?;Горизонтальное разделение данных на основе ключа sharding для распределения нагрузки;Метод горизонтального разделения данных между несколькими серверами для масштабирования;4
Дайте определение социального графа, его типы и свойства. К какому семейству больших графов он относится?;Социальный граф представляет собой сетевую структуру взаимоотношений между людьми или организациями, включает направленные и ненаправленные, взвешенные и невзвешенные типы, обладает свойствами малого мира и кластеризации, относится к семейству масштабно-инвариантных графов;Граф социальных взаимодействий с различными типами связей и характеристиками сетевой структуры;3
Принципы и инструменты аналитики Big Data;Аналитика больших данных основана на принципах распределенной обработки, использования специализированных фреймворков Hadoop и Spark, NoSQL баз данных и облачных технологий;Анализ больших данных требует особых подходов;2
Какие методы используются для снижения размерности данных?;PCA (метод главных компонент), t-SNE, UMAP, autoencoders, feature selection. Уменьшают количество признаков сохраняя важную информацию.;PCA для линейного снижения размерности, t-SNE для визуализации, нейросетевые autoencoders. Упрощают данные без значительной потери информации.;5
Процесс познания (от гипотезы к функции);Процесс включает формулировку гипотезы, сбор и подготовку данных, построение модели, валидацию результатов и создание прогнозной функции для практического применения;Путь от идеи до готового решения;2
Основные метрики больших графов;Ключевые метрики включают диаметр графа, плотность связей, коэффициент кластеризации и различные меры центральности;Показатели для анализа графов;2
Как развитие кластеризация влияет на будущее цифровых технологий?;Кластеризация помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Кластеризация применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;5
Обучение с учителем и без учителя;Обучение с учителем использует размеченные данные, а без учителя обнаруживает скрытые структуры в данных без меток;С учителем есть метки, без учителя нет;3
Как ETL-процессы используется в научных исследованиях?;Etl-процессы используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;4
В чем преимущества применения модели прогнозирования по сравнению с традиционными методами?;Модели прогнозирования помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Это просто работа с таблицами. Не очень полезно.;2
Как понимать «уровень статистической достоверности»?;Это вероятность того, что результат не случаен. Обычно задаётся уровнем значимости ? (например, 0,05), который показывает вероятность ошибки первого рода.;Это вероятность, что результат не случайный, если уровень значимости меньше 0,05, то результат достоверен.;5
Как модели прогнозирования помогает в анализе больших объемов данных?;Модели прогнозирования используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Помогает работать с данными и строить модели.;3
Как big data влияет на эффективность бизнеса?;Big data используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Эти технологии помогают работать с информацией и делать прогнозы.;3
Принципы глубокого обучения в нейросетях;Глубокое обучение использует многослойные нейросети для автоматического извлечения признаков, CNN специализированы для изображений;Глубокие нейросети для обучения;2
Что такое корреляция в анализе данных?;Корреляция — это статистическая мера взаимосвязи между двумя переменными. Она показывает направление и силу связи, выражается коэффициентом r в диапазоне от -1 до +1.;Корреляция отражает зависимость между переменными, но без числовых примеров.;4
Суть алгоритмов связных компонент и покрывающего дерева;Связные компоненты находят группы связанных узлов, покрывающее дерево - минимальный набор рёбер, соединяющий все узлы;Поиск компонент и минимальных деревьев;3
Использование гистограммы для обработки фото;Гистограммы яркости используются для анализа тонального диапазона изображений, коррекции контраста и выполнения операций по улучшению качества;Графики распределения яркости пикселей для анализа изображений;2
Как выбрать между L1 и L2 регуляризацией для линейной модели?;L1 (Lasso) лучше когда нужен отбор признаков и интерпретируемость, L2 (Ridge) когда важна стабильность и все признаки потенциально полезны. L1 обнуляет неважные веса, L2 только уменьшает их.;L1 регуляризация полезна когда нужно автоматически выбрать наиболее важные признаки, особенно при большом количестве фич. L2 лучше когда все признаки могут быть полезны и нужно просто предотвратить переобучение.;5
Какие основные инструменты и технологии используются для работы с NLP?;Nlp помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Используется для прогнозов и анализа информации.;3
Виды столбчатых диаграмм и их интерпретация;Столбчатые диаграммы включают вертикальные, горизонтальные, сгруппированные и составные типы, которые интерпретируются через сравнение высот столбцов для анализа категориальных данных;Столбчатые диаграммы включают вертикальные, горизонтальные и сгруппированные типы для сравнения категориальных данных;5
Какие методы обработки пропущенных значений в данных вы знаете?;Для обработки пропущенных значений используются удаление строк, импутация средним/медианой, предсказание с помощью моделей и интерполяция, выбор метода зависит от природы пропусков и объема данных;Удаление или заполнение пропущенных значений;3
Данные, информация, знания – в чем отличия?;Данные — это необработанные факты и измерения. Информация — это данные, прошедшие интерпретацию. Знания — это результат анализа информации, ведущий к принятию решений. Пример: данные — цифры продаж, информация — динамика продаж, знание — вывод о сезонности спроса.;Данные — это сырые значения, Информация — обработанные данные, Базы знаний — обобщённые закономерности, применяемые для решений.;5
Закономерности динамики сложных сетей;Предпочтительное присоединение, рост по степенному закону, small-world эффект, кластеризация;Закономерности включают preferential attachment и small-world;5
С какими проблемами сталкиваются при применении ETL-процессы, и как их решают?;Etl-процессы используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;4
Как тестируются независимые и парные выборки?;Независимые выборки тестируются с помощью t-теста Стьюдента или U-критерия Манна-Уитни, а парные выборки - с использованием парного t-теста или критерия Вилкоксона;Независимые выборки тестируются t-тестом, парные выборки - парным t-тестом;5
Что такое Data Fabric;Data Fabric — это архитектурный подход, обеспечивающий единый, согласованный слой доступа к данным across разнородных источников через метаданные и семантическую интеграцию.;Единый доступ к разным источникам данных;3
Как развивается направление data lakes в последние годы?;Data lakes помогает компаниям анализировать пользовательское поведение, выявлять закономерности и строить точные модели. Применяется в цифровых сервисах, рекламе и смарт?системах.;Эти технологии помогают работать с информацией и делать прогнозы.;3
Меры изменчивости;К мерам изменчивости относятся дисперсия, стандартное отклонение, размах и межквартильный размах;Показатели разброса данных;2
Как data lakes применяется в современных компаниях?;Технологии data lakes позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Эти технологии помогают работать с информацией и делать прогнозы.;3
В чём суть алгоритмов нахождения квадратичной ошибки?;Минимизация суммы квадратов разностей между предсказанными и фактическими значениями для нахождения оптимальных параметров модели;Метод наименьших квадратов;3
Какие риски связаны с применением мониторинг больших данных?;Технологии мониторинг больших данных позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Мониторинг больших данных используется для обработки информации и улучшения решений.;3
Факторы, влияющие на коэффициент корреляции;На корреляцию влияют выбросы, нелинейность связи, гетерогенность данных, размер выборки и наличие скрытых переменных;Выбросы, нелинейность, размер выборки;3
Принципы и инструменты аналитики Big Data;Аналитика больших данных основана на принципах распределенной обработки, использования специализированных фреймворков Hadoop и Spark, NoSQL баз данных и облачных технологий;Для больших данных используют Hadoop и Spark;3
В каких областях деятельности используются большие данные;"привести примеры.,""Большие данные применяются в маркетинге, финансах, медицине, промышленности, транспорте и государственном управлении. Примеры: прогнозирование спроса, анализ поведения клиентов, медицинская диагностика, предиктивное обслуживание оборудования.";Большие данные применяются в бизнесе и науке. Пример — реклама и исследования.;3
Нормальное распределение;Нормальное распределение характеризуется симметричной колоколообразной формой и определенными параметрами центра и dispersion;Колоколообразное распределение;2
